id,job_title,description,salary,requirements,benefits,location,business_name
114,Native English Teacher needed,"We are looking for motivated, professional and friendly  EFL teachers with native level English, degree, TEFL qualification for employment starting from September.-
-
If you are sociable with an encouraging attitude and able to work well in a team situation we offer an exceptional opportunity for professional and personal development in a supportive, professional environment.-
-
Sunfield School of Languages is located in Santeramo in Colle, a hilly town of Apulia, famous for the quality of meat and traditional butchers and meat restaurants. It is just a short distance from more touristy places such as Matera, Bari, Monopoli, Polignano and Alberobello. Apulia is the number one tourist destination for Italian tourists and has recently become a top destination for foreign tourism as well, with its picturesque towns and villages, excellent local cuisine and miles of unspoiled coastline. Our region has some of mildest weather in Italy and many  touristy towns and places of interest just a short bus journey from the town.","€ 1,100 net","- All teachers need to be native level English speaking 
-
- No previous teaching experiences required
-
- TEFL level 5 required","- Teachers are contracted for 25-30 hours a week
-
- Lessons from Monday to Friday
-
- For the first period (September-June), the standard starting salary for teachers is around €1,100 per month net, with salaries paid monthly
-
- Our teachers share a flat, they have a single big bedroom, some common places such as a living room, a kitchen, two toilets. The school pays the rent, fees, and wi-fi. The flat is 5-minute walking distance from the school
-
- Our teachers will be fully supported to have their residency documents, Italian health and identity cards, a doctor and open their bank account
-
- New teachers will participate in an induction programme, a teaching training by the Director of Studies",Italy > Santeramo in Colle (BA),Sunfield School  of Languages
115,BlingABC Online Teacher,"",12-18 US dollars per hour,"- Bachelor's Degree or above
-
- TEFL Level 3
-
- Previous online teaching experience preferred
-
- Stable wired internet connection","- Choose your own schedule
-
- Stable students for each term (FA/WI/SP/SU)
-
- Plus bonuses for perfect attendance",China > Online,BlingABC
116,Full time English Teacher for Primary/Middle School,"",20-25K RMB,"- Native level English speakers 
-
- Bachelor degree or above 
-
- TEFL Level 5 Certificate","-Free apartment or housing allowance
-
-Paid public holidays
-
-Medical insurance",China > Guangzhou,Elite Education
117,Seoul and All Major Cities - Join Our Prestigious English School in South Korea,"Embark on a life-changing adventure as a proactive and passionate English/TEFL/ESL teacher in South Korea! Our prestigious private English school is seeking dedicated educators like you to join our team in Seoul and various major cities in South Korea. -
-
-Our English school stands as a symbol of excellence, with a renowned national brand encompassing 70 branch schools across the country. If you have a passion for teaching and a desire to make a difference, this is the perfect opportunity for you!-
-
-The positions will be available in October, November, December 2024 and from the year 2025 onwards.-
-
-We provide comprehensive training and support to help you thrive in your role.-
-
-70 branch schools across all major cities in the country as follows:-
-
- Seoul (Gangnam, Daechi, Seocho, Cheongdam, Seongdong, Seongbuk, Gwangjin, Gwanak, Sinchon, Dongdaemun, Eunpyeong, Gangbuk, Guro, Mapo, Mokdong)-
-
- Gyeonggi (Seongnam, Bundang, Suji, Jukjeon, Suwon, Namyangju, Ilsan, Hwajeong, Paju, Gwangmeyong, Anyang, Ansan, Guri, Osan, Gimpo)-
-
- Incheon, Busan, Jeju, Daejeon, Cheonan, Gwangju, Jeonju, Daegu, Ulsan-
-
-
-
-The objective of the school is to instill in children the ability to think, act, and dream in English, rather than merely performing well on exams. Students aged 5-15 attend the institution and learn through its proprietary Infusion Learning method, which encourages them to express themselves freely in English. The school has developed a comprehensive curriculum and teaching aids, which have proven to be an effective approach for nurturing students' abilities. Teachers undergo training to establish a secure and stimulating environment where students feel confident expressing their ideas.-
-
-
-
--Job Number: SGALL2024OND-
-
--Starting Date: Oct/Nov/Dec, 2024 and 2025 onwards-
-
--School Type: Private School-
-
--Location: Nationwide, Seoul, Gyeonggi, Incheon, Busan, Jeju, Daejeon, Cheonan, Gwangju, Jeonju, Daegu, Ulsan-
-
--Airfare: Provided Free-
-
--Accommodation: Single housing provided Free (Larger housing will be provided for Couples)-
-
--Distance from School: 10-15 mins-
-
--Age Group: Kindergarten-Elementary-Junior High-
-
--Class Size: 10 students-
-
--Working Days: M-F (No Weekends)-
-
--Schedule of working Hours: 9am-6pm or 1pm-9pm-
-
--Salary: 2.3M KRW - 3.0M KRW-
-
--Severance Pay: One Month-
-
--Vacation Days: 10 days - All the National Holidays-
-
--Sick Leave: 3 days-
-
--Health Insurance: 50% Support-
-
--Training/orientation: Provided-
-
--Contract length: 1 year (Renewable)-
-
-
-
-The entire placement process typically takes 1-3 months from the point of application to commencing teaching.-
-
-At our organization, we provide a comprehensive hiring process from start to finish, guiding our teachers every step of the way to ensure they are comfortable and informed throughout the process. The major steps in the process are as follows:-
-
-Step 1: Submit an online application.-
-
-Step 2: We will contact you shortly to obtain detailed information about your application, answer your questions, and schedule a phone/Skype or Zoom/in-person interview with a school. -
-
-Step 3: The interview, which lasts approximately 30 minutes, will be conducted.-
-
-Step 4: We will extend an offer for your review and consideration.-
-
-Step 5: Sign the contract and follow the procedure to obtain an E-2 visa, which is the Legal Work Visa for English Teachers in Korea. (Note: F4 visa holders do not need to go through the visa process.)-
-
-
-
-GLOII is a professional recruiting and English teacher placement agency that operates in the US, UK, Australia, and South Korea. We offer comprehensive, knowledgeable, and professional guidance to prospective English/TEFL/ESL teachers who have a sincere desire to teach English in South Korea while learning about the richness and uniqueness of Korean culture and everyday life.-
-
-GLOII has a recruiting network throughout Korea, representing a large number of public and private schools. This enables us to connect you with the most reputable and established employers, saving your valuable time and energy.-
-
-Our services are offered free of charge to teachers.",2.3M KRW - 3M KRW,"No experience is required, and all majors are accepted. To qualify, you must:
-
- Be a native level English speaker
-
- Hold a valid passport from the USA, Canada, UK, Ireland, Australia, New Zealand, or South Africa (due to E2 visa requirements)
-
- Possess an apostilled copy of original bachelor degree from an accredited university in one of the seven recognized English speaking countries listed above.
-
- Obtain a national criminal background check with an authenticating Apostille or notarization and certification from a Korean Consulate (depending on country)
-
- TEFL Level 5","- Free Airfare
-
- Free Apartment Provided
-
- Salary: 2.3M KRW - 3.0M KRW
-
- Visa Sponsorship
-
- Medical Insurance 
-
- Pension Support",South Korea > Seoul,GLOII JC KOREA
118,Online English Teachers Long-term Recruitment,"
-
We are not affected by the new regulations-
(Our classes do not involve public school courses and examinations, but focus on interest cultivation and ability improvement.)-
-
We are an online and offline training center（English Spanish French and Germany）.Because it's one-to-one online teaching, we need a lot of excellent professional teachers.Our company is located in Huairou District, Beijing. Previously, we were a language training institution mainly engaged in offline training. Due to the epidemic, we have added online training, and now we need a large number of online teachers.-
-
If you are interested in our position, please email us your CV with the copies of your passport face page. Then we will send you the rest of the working condition and compensation package. Please feel free to contact me by Skype or E-mail.-
",It depends on your  performance and qualification,"-Love kids, positive, friendly, humorous, sociable, patient, hardworking, outgoing, professional, responsible and passionate
-
-TEFL level 5 
-
-Native level English speaker 
-
-Bachelor's degree or high school graduation or relevant educational certificate, negotiable based on individual qualifications and performances
-
-We only recruit long-term and stable cooperation teachers
-
-Need to have a very good Internet condition and quiet teaching environment
-
-Teachers are required to be responsible to students, attend classes on time, and have a stable spirit of contract
-
-Teachers need to have good teaching qualifications and professional ethics, care about students' growth, and have patience","-Monthly Salary
-
-Teaching materials provided
-
-Flexible teaching hours
-
-Opportunity to get teaching experience",China > Beijing,"Beijing Yushun International Cultural Exchange Co.,Ltd"
124,English Teachers for Young Learners in Hong Kong,"","22,500 - 25,000 HKD/Month","Aptitude is far more important than teaching experience. All new teachers receive training before running their own classes. So, if you can:
-
- demonstrate an interest in and enthusiasm for teaching children, 
-
- have the required qualifications (degree and TEFL level 5 certificate), 
-
- and want to spend a year or more in Hong Kong in the most rewarding job, 
-
we'd love to hear from you.","- Competitive salary with annual increments
-
- Welcome bonus
-
- Student hours bonus
-
- Career development plan
-
- Fully sponsored working visa
-
- Paid public holidays
-
- Medical benefits
-
- Annual leave, sick leave and compassionate leave
-
- Positive work environment
-
- Convenient centre locations
-
- Supportive staff assistance",Hong Kong > Hong Kong,Jolly Kingdom
119,ESL Teachers needed in Peru,"Maximo Nivel is a leading ESL institute in Latin America. We are looking for great ESL teachers to join our teaching team in Cusco, Peru. Maximo Nivel is well known in Latin America for our ""Native English Program,"" our professionalism, and our dedication to excellent teaching and great client service. We are a hard-working and professional group and these are the kind of teachers we look for. Our ESL teachers teach 30 contact hours per week, Monday - Friday. Class size is strictly limited to 12 learners. Most teachers teach a range of levels from Basic to Advanced. The majority of our learners are young adults, 18-30 years of age. We pride ourselves on our teachers, and it is important you take pride in your teaching :)-
-
We stress three things in our classrooms:-
1. Professionalism-
2. Chemistry with learners-
3. Student Talk Time (STT)-
-
Maximo Nivel:-
",Competitive salary,"- You must be a native level English speaker
-
- You must be TEFL level 5 certified
-
- You must be willing to commit to teaching with us for a minimum of 6 months
-
- Excellent interpersonal skills and a love for teaching
-
- Strong team environment; positive mindset and attitude required","- Very competitive local wage
-
- Fixed-base salary + bonus
-
- Opportunities for additional pay available
-
- 23 holidays per year
-
- Monthly in-service training
-
- Discounted Spanish language classes
-
- Work visa assistance for long-term teachers
-
- Professional development opportunities in Academics, Admissions, and Operations",Peru > Cusco,Maximo Nivel
120,Vocational English Instructors Needed (Online Teaching),"We are an Online Education Platform and leading provider of specialized vocational training programs for various industries. We are dedicated to delivering high-quality, accessible education to professionals and companies. Currently seeking passionate and experienced Vocational English Instructors to join our team on a contract basis.-
-
-
-
-We are looking for dedicated and innovative Vocational English Instructors to deliver online courses tailored to the needs of professionals in various sectors. The ideal candidate will have a strong background in teaching English for specific purposes (ESP) and a passion for empowering learners with practical language skills relevant to their industries.-
-
-
-
-
-Develop and deliver engaging online lessons in Vocational English-Create and adapt instructional materials that meet the specific needs of learners-Assess students' language proficiency and progress through various evaluation methods-Provide constructive feedback and support to help students achieve their learning goals",Competitive compensation based on experience and expertise,"Bachelor's degree 
-
TEFL Level 3
-
Strong understanding of industry-specific vocabulary and language requirements
-
Excellent communication and interpersonal skills
-
Ability to create a positive and interactive online learning environment
-
Proficiency in using online teaching tools and platforms","- Competitive compensation based on experience and expertise
-
- Remote working with flexible working hours
-
- The chance to make a meaningful impact on learners' professional lives",United Kingdom > Online,BWANS Online Education
121,English Teacher needed in Chojnice,"We are seeking a highly motivated native-level English teacher to join our team at GLOBAL in a picturesque small town in Poland. As a reputable institution committed to providing quality education, we offer a welcoming and supportive environment for both students and staff.-
-
Responsibilities:-
-
If you are enthusiastic about teaching English and making a positive impact on students' language learning journey, we invite you to join our dedicated team.-
-
Join us in inspiring and empowering students to achieve their language learning goals in the heart of Poland's charming small town!",2500 Euros,"- Native-level proficiency in English with excellent communication and interpersonal skills 
-
- TEFL Level 5
-
- Strong classroom management skills and the ability to create a supportive and inclusive learning environment
-
- Flexibility, adaptability, and a passion for teaching and language education
-
-  Legal authorization to work in Poland
-
- Strong commitment to teaching children
-
- Knowledge of Polish language and culture is an advantage but not required
-
- Bachelor's degree 
-
- Ability to adapt to living in a small town","- Competitive salary commensurate with qualifications and experience
-
- Supportive and professional work environment with opportunities for professional development and growth
-
- Small town charm with access to beautiful natural surroundings and cultural attractions
-
-  Accommodation in a studio flat 4 minutes walk from the school is provided
-
- Possibility for contract renewal and long-term employment opportunities",Poland > Chojnice,GLOBAL School of English
122,TEFL Teachers needed for our Fresh Graduate program in China!,"
-
This program is tailored for recent graduates holding a Bachelor’s Degree, but do not have any teaching experience. It provides an opportunity for them to receive comprehensive training, secure job placement, and immerse themselves in a new culture while traveling. Participants engage in a yearly contract that facilitates career advancement in teaching English abroad.-
-
Our dedicated team provides essential support, from providing extensive training in preparation for interviews and job placement, assistance in acquiring residency permit and legal work visa, to picking you up at the airport, setting up sim and bank account and much more, all to ensure a comfortable and fulfilling experience throughout the duration of the program.-
-
-
",Competitive Salary (To Be Discussed ),"- Good command of English language, both written and spoken
-
- BA Degree or Above
-
- TEFL Level 5
-
- No previous teaching experience necessary
-
- Friendly and adventurous
-
- Able to commit to a yearly contract","-Monthly salary: 15,000 RMB (Average Teachers Salary)
-
-Housing allowance: 3000 RMB/Month pre-tax
-
-Flight Allowance: 6000 RMB
-
-‘Z’ work visa provided
-
-Paid holiday: 2 weeks paid summer holidays, 2 weeks paid winter   holidays including Spring Festival and all National Holidays
-
-Accidental and severe hospitalization insurance during the contract term
-
-Free lunch provided
-
-Annual salary increase for contract renewal (increase up to 2,000 RMB based on performance)
-
-Pre-job orientation and training and on-going program supervision
-
-Assistance for housing rental service, sim card and bank card
-
-Airport pick-up service
-
-Three days free hotel accommodation.",China > Shanghai and Jiangsu,Shanghai Meiji
123,Shape the Future: Full-Time Academic English Teacher Position Available,"",Negotiable (From $1950),"- Be a native level English speaker and hold a valid passport from English-speaking countries
-
- Have completed a four-year program university (B.A., B.S., et cetera)
-
- Have a TEFL Level 5
-
- Have a clear background check
-
- Have experience working in academic environment
-
- Possess qualities of diligence, flexibility, open-mindedness, cultural sensitivity and patience","- Competitive contracted salary
-
- Transport to and from teaching locations provided by the company
-
- Lunch provided by the company
-
- Lesson plan, material supporting
-
- Up to 23 paid holidays per year – 11 public holidays and 11 day annual leave
-
- Health and Social insurance according to the Vietnamese applicable law","Vietnam > 19 Vo Van Tan Street, Vo Thi Sau Ward, District 3, Ho Chi Minh City",EMG EDUCATION
126,Opportunity Knocks In The Best Region of Poland!,"Established in 1997, the SPEED School of English has four branches with over 20 teachers. The schools are all located in southern Poland (Wroclaw, Krakow, Gliwice, Bielsko-Biala). The school has become one of the largest English language schools in each city where it operates. We pride ourselves in providing high quality educational services. We teach a variety of students ranging from young learners to adults who are very friendly and eager to learn. They need English for professional and private use. They enjoy the school and respect the teachers, which creates a friendly and supportive work environment.-
-
We are looking for positive, friendly, creative, confident and resourceful candidates, interested in teaching English in Poland in the academic year 2024/2025 (to start working in September).-
-
We will respond only to the selected applicants.",3900-4900PLN after tax per month,"- BA degree
-
- TEFL level 5
-
- Native level English speaker","- Guaranteed minimum teaching workload
-
- Competitive rates of pay: average local salary 3900-4900PLN after tax per month (1USD=4,00PLN; 1GBP=5,00PLN, 1EUR=4,20PLN)
-
- Free intensive teacher training & induction package
-
- Full assistance in obtaining visas and work permits
-
- Airfare allowance of 1000PLN after successful completion of contract
-
- Guaranteed minimum weekly workload
-
- Assistance in finding suitable accommodation
-
- Health insurance
-
-  A contact person at each school to assist teachers with any challenges of daily life in Poland
-
- Friendly and supportive work environment
-
- Free on-going teacher development program
-
- Free Polish lessons
-
- Free ski passes!!!
-
 - Airport pick-up","Poland > Wroclaw, Krakow, Gliwice, Bielsko-Biala",SPEED School of English
127,TEACH IN GUANGZHOU CHINA,"
-
If your answer is YES, read what we say and APPLY!-
-
-
-
Founded in 2012, our training centre has grown exponentially as we now have nearly 500 full-time staff working with over 10,000 students annually. Houhai uses -curriculums from National Geographic- which has been a success. Our R&D team -crafts lesson plans-, with supportive materials, to further enhance the quality of the classroom. Valuing education is a crucial marker for cultural fit at Houhai English.-
-
-
-
After you have successfully passed the interview process our dedicated Onboarding, Training and Operations teams will- ensure a smooth transition- and set you up for success. We will guide you through the- VISA process-, when you arrive you'll be booked in at a -hotel-, and complete all Onboarding tasks such as -getting a sim card-, -finding an apartment-, -opening a bank account-, etc. Then you'll go through our- comprehensive training- schedule. Only then will you -start teaching- and inspiring your students.-
-
-
-
In our classrooms, teachers always put students first, ensuring their needs are met.-
-
Now is your best opportunity to work in a new, uplifting supportive environment!",20 000 - 30 000,"- Native English speaker
- Passport 
- At least 1 year of teaching experience 
- A bachelor's degree or higher 
- TEFL Level 5
- Passionate about education and willing to learn 
- Rooted in Professionalism and Integrity
- Able to create an environment conducive to collaboration and creativity","- VISA and other paperwork reimbursement 
- Annual flight allowance
- Annual contract completion bonus 
- Health Insurance
- Paid Annual leave
- Paid Sick leave
- Loyalty bonus
- Extra pay for Marketing or R&D projects
- The opportunity to positively impact a child's growth and individual growth",China > Guangzhou,Houhai English
128,BlingABC is Hiring Online Teachers,"Job Description-
",$12-$18 per hour,"- Bachelor's Degree or above
-
- TEFL Level 3
-
- Stable wired internet connection","- Choose your own schedule
-
- Stable students for each term (FA/WI/SP/SU)",United States of America > Online,BlingABC Inc.
129,Top teaching jobs in China at private and international schools,"Succeed in Education (SIE) is a well-established, trusted and sought after recruiting company in China who will provide constant support for teachers from the beginning of the application process and all the way through employment. All legal, contractual matters are handled by SIE with complete transparency, efficiency and support.-
-
-
-
-
",3000 to 4000 USD,"- You must hold a passport from one of these counties: the United States, United Kingdom, Canada, Ireland, Australia, New Zealand, South Africa
-
- Bachelor's Degree in any field
-
- Non-criminal background
-
- TEFL Level 5","- 20,000 - 30,000RMB monthly salary (3000 - 4000 USD) depending on experience, location and ages/subjects taught
-
- Winter + Summer vacation pay 8,000RMB
-
- Flight Tickets reimbursement 8,000RMB
-
- Foreign teachers community
-
- Training & Curriculum provided
-
- First class Health Insurance provided
-
- First week free hotel accommodation, orientation and training provided",China > Guangdong,Succeed in Education (SIE)
130,South African Online English Teacher (Adult Students),"
We're on the lookout for dedicated educators like yourself to join our rapidly expanding online teaching community. If you have a genuine appreciation for Vietnamese culture and are eager to contribute your English knowledge, we invite you to become a part of our exceptional team.-
-
-
-
Peak hours: Weekdays (Monday to Friday): 3 to 6 AM SAST and 2 PM to 6 PM SAST. Required to teach a minimum of 4 peak hours per day.-
-
Peak hours: Weekends (Saturday and Sunday): 3 AM to 6 AM SAST and 2 PM to 6 PM SAST. Required to teach a minimum of 5 peak hours per day.-
-
Hours are not guaranteed.-
-
-
-
Teaching adults based in Vietnam.-
-
-
-
Group classes consisting of 4-6 students: Duration 45 minutes.-
-
Smaller classes: Duration 15 minutes and 25 minutes.-
-
-
-
Base rate of 6 USD per hour.-
-
-
-
You will be engaged by The Really Great Teacher Company as an Independent Service Provider.-
-
-
-
Work from the convenience of your home.-
-
 ",6 USD per hour,"Minimum Qualifications
-
- English first language speaker
-
- Minimum of 1 year of teaching/ online teaching experience
-
- A completed tertiary qualification such as a Diploma or Degree (in any field)
-
- TEFL level 3
-
- Proficiency in computer use
-
- A clean criminal record
-
-
Tech Requirements
-
PC specifications:
-
- Intel® Core™ i5 CPU @2.0GHz (4 CPUs) or better, 8GB RAM or greater
-
-
Backup power:
-
- Uninterrupted Power Supply (UPS) with a battery life of 4-5 hours (2000VA) or a willingness to purchase one before commencing teaching, if you are based in a country that experiences regular power interruptions
-
-
A stable fiber internet connection:
-
- A minimum of 20 Mbps upload and 30 Mbps download speeds, connected via LAN cable (not Wi-Fi)
-
-
Noise-cancelling headsets and an HD web camera (720p), with a backup headset recommended
-
A tidy, well-lit, and quiet teaching environment.","What joining us entails:
-
- Seamless Onboarding & Training: Our comprehensive support and training will guide you through every step, ensuring your confidence in becoming an outstanding teacher right from your very first lesson
-
- Work from the Comfort of Your Home: Say goodbye to daily commutes. Enjoy fulfilling work while achieving a work-life balance that suits your needs perfectly
-
- Explore the World: Connect with students from all corners of the globe and experience their diverse cultures, all from the convenience of your home
-
- Professional Development: Access our Inspiration Academy, offering free courses across various fields of study, allowing you to foster your professional growth at your own pace
-
- Personal Development: Through our Evolve Program, you can partake in wellness activities, enjoy fun events, and engage with a supportive community, all from the comfort of your home",Hong Kong > Online,The Really Great Teacher Company
182,"International Kindergarten Homeroom/ English Teacher Job in Coastal City, Aug","We have established rapport with teaching institutions, allowing us to efficiently find suitable positions.-
-
-
",25-35K CNY Monthly,"- Native level English speakers
-
- Bachelor’s degree or above
-
- Teacher license, such as QTS, PGCE certificate is required
-
- TEFL level 5","- Salary: CNY25,000-CNY35,000 monthly
-
- Accommodation: free independent apartment provided
-
- Vacation: full paid two months summer vacation and one month winter vacation
-
- Holidays: full paid 11 days Chinese public holidays a year
-
- Airfare Allowance: minimum CNY8,000 flight ticket reimbursement upon the contract fulfillment
-
- Insurance: accident insurance and health insurance provided
-
- Work Visa: yes","China > Hengdabinjiang, 493 Yingwu Ave. Hanyang District, Wuhan, Hubei, China.","ClickChina Cultural Exchange Co., Ltd."
131,"Top Pay, International School English Teacher Wanted in Shanghai, Aug","36-28K, AP English Teacher Wanted in Shanghai,Aug. 2024.-
-
About us-
ClickChina Cultural Exchange Co., Ltd, the recruiters with the certified license issued by SAFEA (State Administration of Foreign Experts Affairs P.R. China), Registration No: A3 4290001. We are providing free of charge services to international candidates on China jobs matching, documents collection for work permit application, work visa inquiry…-
-
We have established rapport with teaching institutions, allowing us to efficiently find suitable positions.-
-
-
","28-36K CNY, Monthly","- Native level English speaker
-
- Bachelor’s degree or above, related majors
-
- TEFL level 5","- Salary: CNY22,000 - CNY30,000 monthly. 12 months pay a year
-
- Accommodation: housing allowance of CNY6,000 monthly (sufficient)
-
- Meals: free working lunch provided
-
- Vacation: full paid three months summer vacation and winter vacation
-
- Holidays: full paid 11 days Chinese public holidays
-
- Sick Leave: full paid 7 days a year
-
- Airfare Allowance: up to CNY7,000 a year
-
- Insurance: accident insurance and health insurance provided
-
- Working Visa: yes
-
- Children Tuition: one child gets free tuition, and the other children get 50% off tuition.","China > Hengdabinjiang, 493 Yingwu Ave. Hanyang District, Wuhan, Hubei, China.","ClickChina Cultural Exchange Co., Ltd."
132,Passionate Academic Teacher Wanted: Full-Time Role,"",Negotiable (From $1950),"- Be a native level English speaker and hold a valid passport from English-speaking countries
-
- Have completed a four-year program university (B.A., B.S., et cetera)
-
- TEFL Level 5
-
- Have a clear background check
-
- Have experience working in academic environment
-
- Possess qualities of diligence, flexibility, open-mindedness, cultural sensitivity and patience","- Competitive contracted salary
-
- Transport to and from teaching locations provided by the company
-
- Lunch provided
-
- Material, lesson plan supporting
-
- Up to 23 paid holidays per year – 11 public holidays and 11 day annual leave
-
- Health and Social insurance according to the Vietnamese applicable law","Vietnam > 19 Vo Van Tan Street, Vo Thi Sau Ward, District 3, Ho Chi Minh City",EMG EDUCATION
133,Full-Time Academic Teaching Opportunity,"",Negotiable (From $1950),"- Be a native level English speaker and hold a valid passport from English-speaking countries
-
- Have completed a four-year program university (B.A., B.S., et cetera)
-
- Have an accredited TEFL level 5
-
- Have a clear background check
-
- Have experience working in academic environment
-
- Possess qualities of diligence, flexibility, open-mindedness, cultural sensitivity and patience","- Competitive contracted salary
-
- Transport to and from teaching locations provided by the company
-
- Lunch provided by the company
-
- Material, lesson plan supporting
-
- Up to 23 paid holidays per year – 11 public holidays and 11 day annual leave
-
- Health and Social insurance according to the Vietnamese applicable law","Vietnam > 19 Vo Van Tan Street, Vo Thi Sau Ward, District 3, Ho Chi Minh City",EMG EDUCATION
135,ESL Teacher | Kindergarten Teacher | February 2025 | China,"Responsibilities – Kindergarten-
-
Working Hours-
-
This position is for the winter semester, which starts in Feb 2025.","12,000CNY - 22,000CNY / Month","– Native level English speaker with a Bachelor’s Degree or above (No major limit)
-
– TEFL level 5
-
– Age from 18 to 50 years old
-
– Patient, responsible, enthusiastic, culturally aware","– Salary between 12,000CNY – 22,000CNY / Month
-
– Paid Summer / Winter vacation
-
– Foreign teachers community
-
– Training & Curriculum provided
-
– Social security/health insurance 
-
– Flight allowance
-
– 11 days of Chinese official holidays plus Summer / Winter vacation
-
– Up to 7 days paid hotel accommodation upon arrival
-
– Support in finding an accommodation
-
– Full support in making the transition to life in China","China > Room 1818, 18th floor, Zhongyindasha, Caitian Road,",Talent-E Education Ltd
136,"25K+Free Housing, Primary School English Teacher Wanted in Guangzhou, Aug","20-25K-Free Housing, No Office Hours, Primary School ESL Job in Guangdong, Aug. 2024.-
-
About us-
ClickChina Cultural Exchange Co., Ltd, the recruiters with the certified license issued by SAFEA (State Administration of Foreign Experts Affairs P.R. China), Registration No: A3 4290001. We are providing free of charge services to international candidates on China jobs matching, documents collection for work permit application, work visa inquiry…-
-
We have established rapport with teaching institutions, allowing us to efficiently find suitable positions.-
-
-
","20-25K CNY, Monthly","- Native level English speaker
-
- Bachelor’s degree or above
-
- TEFL Level 5","- Salary: CNY20,000 - CNY25,000 monthly
-
- Accommodation: free apartment provided
-
- Holidays: full paid 11 days Chinese public holidays
-
- Vacation: one month vacation with allowance CNY5,000
-
- Airfare Allowance: CNY5,000 a year
-
- Insurance: accident insurance provided
-
- Work Visa: yes","China > Hengdabinjiang, 493 Yingwu Ave. Hanyang District, Wuhan, Hubei, China.","ClickChina Cultural Exchange Co., Ltd."
137,ESL Teaching Jobs in Vietnam,"Are you a passionate & enthusiastic teacher with TEFL qualifications and experience teaching young learners? TESLAbroad is currently seeking ESL educators to teach English for top tier language schools in Vietnam.-
-
As an Educator you will deliver well planned, engaging and successful lessons in line with the language centers or public schools curriculum.  This is an excellent opportunity for a passionate ESL educator who is looking to expand their skills and build their career with an industry leader.","430,000vnd-520,000vnd","- Bachelor's Degree 
-
- TEFL Level 5
-
- Clean Police Clearance from your home country","- Competitive Pay ranges from 430,000vnd to 520,000vnd per teaching hour before tax
-
- 16-20 teaching hours per week/80 hours per month 
-
- Evenings and Weekends classes unless you teach public school which is day time
-
- Must be able to teach all levels/ages
-
- Supplements for teaching adult classes and public school classes
-
- 1 week training with accommodations during training
-
- Opportunity to learn, earn and grow 
-
- Health care
-
- Professional Development
-
- Work visa/Work permit sponsorship to work legally in Vietnam",Vietnam > Ho Chi Minh City,958
138,Teach English in South Korea!,"
-
Are you looking to work and travel abroad? Teach English in Korea!-
-
No prior teaching experience is required. You will receive training upon relocation, and be fully prepared to teach English as a Foreign Language (EFL) using the most cutting edge e-learning and smart classroom technology. Our client has programs for all aged students from Pre-K, elementary school, middle school and high school.-
-
Receive generous pay and benefits to live and work abroad comfortably. And don’t worry- the only language you will need to speak is English. Just be ready to have an experience of a lifetime with the comfort and support of our teacher management team. All you need is passion for learning, and compassion for students!-
-
-
-
Our goal at Aclipse is to help motivated and adventurous university graduates experience living and working abroad. We offer free job placement and full support, and are the sole recruiting arm of the leading English language education program in South Korea!-
-
Our recruiters have taught English abroad and have the knowledge to help guide your decision-making process. We can also put you directly in touch with a current teacher!-
-
Haven’t graduated from college yet? You can still apply! We accept applications 8 months in advance of your expected graduation date. Also, in an effort to accommodate your preferred start date, our clients hire year-round.","$28,000 - $46,000 a year","-Native English Speaker (UK, USA, CA, AUS, NZ, SA or IRE)
-
-University degree in any subject
-
-Clear background check
-
-Level 5 TEFL Certificate
-
-Commitment to a one-year contract","-Monthly pay of 2,400,000 KRW to 4,000,000 KRW
-
-Free Furnished Housing OR Housing Security Deposit + Higher Pay
-
-Airfare reimbursement up to 1,200,000 KRW
-
-Paid Vacation
-
-50/50 Contribution to Medical and Pension (retirement fund that can be withdrawn upon departure)
-
-1-month salary bonus when contract completed
-
-Full visa processing and sponsorship
-
-Opportunities for advancement! Many of our instructors have moved onto full-time roles in the company including Faculty HR and Training, Curriculum Development, and Biz Dev/Marketing
-
-Dental insurance
-
-Health insurance
-
-Paid time off
-
-Retirement plan",South Korea > Multiple Locations,Aclipse
140,Volunteer Classroom Educator,"
-
-
-
-
",Voluntary,"- A Bachelor’s degree by June 2024 (all majors welcome to apply!) 
-
- Candidate with an Associate’s degree may be considered, and are encouraged to apply
-
- TEFL Level 5
-
- A commitment to BECA’s mission and a dedication to social justice
-
- Strong interpersonal and cross-cultural skills  
-
- Capacity to manage multiple tasks simultaneously  
-
- Willingness to operate in a low-resource environment under challenging living conditions","- A monthly food stipend 
-
- Local transportation to/from the airport 
-
- Housing (within a shared living accommodation) 
-
- High-speed internet, and all utilities, provided by BECA 
-
- Assistance in obtaining temporary residency status, or support with obtaining a temporary VISA, depending on volunteer need/local regulations
-
- Intensive summer training, and ongoing training and professional development throughout the academic year 
-
- Immersion in a Spanish speaking community, with opportunities for Spanish-language acquisition",Honduras > San Pedro Sula,Bilingual Education for Central America (BECA)
